GroupID	x	y	z	group_mHI	group_R200	mass_select	radius_select
212	8375.301	202384.56	5202.5786	79936750000.0	552.16656	1	0
213	79531.86	46793.78	130346.695	27002597000.0	450.68787	1	0
216	197773.67	115249.73	202432.12	60747555000.0	550.81195	1	0
217	161810.45	45378.72	77787.18	66513084000.0	548.45886	1	0
223	56064.17	29414.738	52356.58	92845690000.0	463.23785	1	0
224	150018.34	66568.984	78725.3	35352437000.0	561.0749	1	0
226	84081.82	80530.47	53386.652	41775640000.0	549.2748	1	0
229	150089.84	96135.41	177739.03	64627770000.0	548.74805	1	0
230	82165.29	197609.14	41282.273	38364856000.0	466.50635	1	0
231	34214.812	41288.887	131674.9	32244036000.0	517.0543	1	0
232	145051.08	14953.464	145334.17	85082330000.0	444.4162	1	0
234	43107.555	182057.17	66154.47	69057765000.0	463.77188	1	0
235	22133.73	108572.1	180951.97	68400312000.0	566.982	1	0
238	157635.4	129625.59	14481.908	95348260000.0	474.5267	1	0
239	101790.99	90471.81	65240.58	58642240000.0	512.62854	1	0
240	201304.78	70971.06	85538.77	95970060000.0	426.88867	1	0
243	135370.7	44595.562	148655.05	51250545000.0	448.77966	1	0
245	7681.1387	3506.127	123447.484	57301260000.0	541.0865	1	0
246	62577.254	180397.22	53069.508	77269760000.0	457.40497	1	0
248	168057.58	184105.31	32612.904	58069602000.0	540.5847	1	0
249	43895.613	98034.72	36399.18	46004236000.0	558.00806	1	0
250	133467.2	159757.92	121318.73	59670876000.0	578.144	1	0
251	115636.734	24282.896	124164.11	42809340000.0	416.88736	1	0
253	89194.04	70363.01	29368.652	52286943000.0	544.82043	1	0
255	146550.55	92113.805	65249.65	77532380000.0	486.92398	1	0
259	72589.29	96987.59	157580.77	48583786000.0	554.6616	1	0
260	199757.89	151533.03	167384.58	44067400000.0	522.4334	1	0
261	33353.383	106768.65	161609.03	70863210000.0	400.0837	1	0
265	52137.195	111342.35	133049.55	37385350000.0	543.8463	1	0
271	114402.4	146836.11	74743.69	75061680000.0	557.9754	1	0
277	58813.98	29605.291	44450.605	63516033000.0	557.0759	1	0
285	184898.31	110653.12	68.67364	67632992000.0	547.99677	1	0
287	15319.687	5661.908	156393.0	29571002000.0	558.54364	1	0
291	3776.8428	107314.414	23977.373	35611296000.0	418.41516	1	0
295	31518.176	70589.03	2138.5996	52323906000.0	533.6684	1	0
299	110719.6	47763.484	176025.92	27508408000.0	555.4085	1	0
316	146950.12	131937.89	152603.25	26992378000.0	531.71173	1	0
327	62307.254	128404.99	75364.63	34555790000.0	445.543	1	0
331	155833.22	64441.25	143497.03	42431220000.0	542.55994	1	0
336	129036.5	173788.11	74073.16	92988870000.0	428.09094	1	0
340	37454.59	86317.85	159124.89	46196773000.0	479.4483	1	0
344	117666.02	134784.94	176069.03	67888620000.0	484.79694	1	0
346	144366.89	57952.94	137438.3	16752369000.0	512.123	1	0
355	69637.14	10354.817	188524.66	80473820000.0	424.82986	1	0
359	177989.12	189697.5	133801.06	34431672000.0	530.2901	1	0
367	198661.33	153377.39	186102.77	45523636000.0	369.4439	1	0
369	165901.55	29581.352	160702.97	58609720000.0	448.78192	1	0
371	126769.16	82906.71	11140.755	92211860000.0	469.96475	1	0
379	192031.77	196139.52	47997.82	54887540000.0	526.34015	1	0
380	75164.61	11593.44	106174.66	59512280000.0	435.38333	1	0
382	49558.055	88161.88	203333.61	35083293000.0	444.0915	1	0
390	100982.32	81657.01	60596.49	46590767000.0	508.17886	1	0
396	132286.25	55527.266	2868.7686	50100347000.0	505.39737	1	0
397	56020.977	59181.04	140460.88	24772653000.0	530.1176	1	0
402	167891.69	58412.96	64455.55	39011254000.0	462.0096	1	0
410	48298.133	112824.195	174195.23	43194057000.0	511.9619	1	0
416	87385.695	73690.96	86662.5	64123404000.0	468.89996	1	0
431	190101.77	146490.89	180878.2	65258516000.0	502.38892	1	0
434	125506.32	47685.113	20550.5	45854450000.0	512.0702	1	0
435	165208.28	51004.82	160903.12	55850310000.0	365.10672	1	0
451	23496.305	171458.8	120946.18	16931919000.0	506.1329	1	0
460	154619.45	125220.17	52596.836	64013013000.0	408.11105	1	0
466	100418.18	157514.61	153359.45	37007344000.0	513.2001	1	0
472	95753.484	144083.39	37783.16	58120770000.0	404.02582	1	0
479	156119.86	100413.13	167220.22	28816564000.0	483.25244	1	0
486	32496.164	77964.24	143535.23	28353112000.0	513.22296	1	0
498	181333.56	40313.99	84292.555	20120918000.0	495.99194	1	0
500	47179.023	80226.46	36690.55	26541203000.0	485.39236	1	0
503	85468.78	120929.93	79358.89	65950740000.0	444.82556	1	0
509	166390.97	24291.992	39494.793	23261030000.0	491.23074	1	0
520	128769.43	147194.62	136941.53	38500550000.0	478.8368	1	0
530	134961.4	161698.52	186027.25	30126221000.0	474.09753	1	0
538	90995.3	79591.06	34927.832	42008027000.0	485.93976	1	0
547	80516.34	110326.54	89639.664	38922342000.0	409.79953	1	0
550	150942.17	173380.83	68022.4	34267013000.0	440.4432	1	0
553	125550.35	84025.97	180280.78	53135372000.0	404.94977	1	0
557	23185.607	178642.78	19241.818	45557440000.0	413.38934	1	0
559	22080.588	52481.64	189039.72	36119454000.0	425.87546	1	0
566	158658.08	148512.92	4518.222	22073442000.0	473.2557	1	0
580	74040.75	40616.992	15943.381	81110920000.0	465.4264	1	0
583	33303.848	13050.268	132951.06	64020054000.0	458.91165	1	0
584	191413.6	189949.61	85059.41	29162904000.0	478.8585	1	0
593	60181.695	15077.929	6035.363	47005266000.0	323.41922	1	0
600	31707.72	111296.78	138927.12	32702398000.0	459.33545	1	0
604	157570.2	28366.014	88708.234	24776438000.0	482.96432	1	0
611	109535.85	104269.414	136183.9	28325456000.0	414.83563	1	0
615	149240.81	19198.55	76185.18	30414555000.0	478.69543	1	0
621	30051.203	93490.93	11256.294	21809762000.0	470.53174	1	0
629	80152.93	192928.14	121524.86	35482400000.0	472.74597	1	0
633	185845.69	29583.512	191010.62	19887694000.0	443.40176	1	0
634	88734.336	16758.512	104743.15	40614978000.0	467.85965	1	0
657	164539.6	123234.87	45169.055	27975598000.0	431.79507	1	0
658	158838.83	188636.06	159406.92	43071898000.0	398.79697	1	0
662	144062.08	62291.043	160779.97	28876680000.0	457.59567	1	0
690	56147.895	12177.618	69128.336	19264637000.0	454.75452	1	0
703	47608.12	76859.445	152602.08	38200332000.0	419.02454	1	0
707	36343.414	153819.69	74677.1	66305580000.0	459.28604	1	0
740	129908.625	106101.13	83615.95	41338270000.0	409.7011	1	0
779	61226.395	90641.43	103475.75	50046284000.0	400.2807	1	0
791	25445.814	178820.1	126183.88	18258835000.0	439.13632	1	0
812	183513.27	120443.13	18373.09	42188878000.0	462.4953	1	0
837	72677.414	50788.75	43274.28	57805660000.0	418.7876	1	0
847	80086.32	17446.982	144719.42	24313266000.0	462.77963	1	0
858	103887.56	121866.445	86078.8	45722280000.0	371.37402	1	0
875	149909.05	26231.22	109256.7	22776682000.0	465.43155	1	0
902	74120.16	200707.48	78225.21	47718980000.0	379.5741	1	0
906	121364.54	30358.45	18780.887	26225660000.0	451.6485	1	0
917	182008.84	184114.22	166818.52	45779448000.0	415.40073	1	0
925	72839.09	82559.12	119507.28	48084644000.0	421.43158	1	0
1000	48301.52	111088.17	186876.7	33134944000.0	429.68576	1	0
1047	147976.47	193831.14	146166.16	15252855000.0	438.08615	1	0
1070	11233.831	45903.88	89113.734	26297285000.0	414.14868	1	0
1075	172916.16	53207.797	61457.4	24564912000.0	432.3336	1	0
1089	150426.9	74539.31	131546.36	58942165000.0	385.73178	1	0
1106	12597.878	90923.5	196114.3	52650180000.0	378.55014	1	0
1114	200596.89	195544.4	102626.86	35575034000.0	347.97452	1	0
1122	11422.812	52660.65	80692.875	33907382000.0	432.1844	1	0
