GroupID	iscen	GroupPos	GroupM200
49.0	1.0	[126536.88 180016.89  71748.4 ]	187930800000000.0
165.0	1.0	[135503.88 134400.05  78060.36]	122913480000000.0
155.0	1.0	[ 52890.188  64663.207 204536.02 ]	134479010000000.0
213.0	1.0	[180052.62   52875.258  53204.703]	177005770000000.0
132.0	1.0	[ 89786.88   20861.035 127995.445]	163909500000000.0
504.0	1.0	[159917.3  188047.75 157774.2 ]	140163565000000.0
521.0	1.0	[185486.1  110688.01 203328.75]	187111840000000.0
59.0	0.0	[ 51885.773 109653.6   133402.34 ]	178474010000000.0
146.0	1.0	[102470.03 148679.22 136828.31]	170201620000000.0
240.0	1.0	[168532.86 127143.23 157044.38]	111486940000000.0
383.0	1.0	[184095.88 138413.16 194331.84]	176244920000000.0
130.0	1.0	[ 61875.31  180275.05   53208.203]	169744320000000.0
160.0	1.0	[  8591.758 202479.28    4664.245]	171195450000000.0
102.0	1.0	[123977.19   58440.207  26573.604]	170170280000000.0
358.0	1.0	[181956.92   40424.42   84947.984]	137401440000000.0
94.0	0.0	[129319.625 147824.03  136837.66 ]	176176590000000.0
77.0	1.0	[ 68144.984 144499.67  135328.66 ]	162742720000000.0
144.0	1.0	[125843.08   49747.69   21527.992]	154801710000000.0
291.0	1.0	[90365.234 70963.914 30684.293]	163859300000000.0
72.0	1.0	[171976.05  22435.07 161972.16]	173127850000000.0
152.0	1.0	[ 85149.79 132888.06 196539.23]	152895570000000.0
278.0	1.0	[202018.98   70846.35   86113.625]	183455800000000.0
530.0	1.0	[181628.56   79897.97   11279.538]	112941215000000.0
332.0	0.0	[200257.5  196210.52 103376.72]	128181140000000.0
131.0	1.0	[92324.5     1727.3191 51711.316 ]	148736480000000.0
3710.0	1.0	[144903.5  135375.86  74395.31]	137337300000000.0
187.0	1.0	[ 80005.76 109763.22  90398.11]	150488370000000.0
252.0	1.0	[161693.72   45093.406  78510.21 ]	142675000000000.0
			117365015000000.0
